00000000000000000000000000000000100000000000000000	0.40110 	100236	0.098895 	0.802210 	-0.322649 	 Indices = 	33	
00000000000000000000000100000000000000000000000000	0.37597 	125710	0.124028 	0.751943 	-0.374875 	 Indices = 	24	
00000000000000000000000000000000000000010000000000	0.36999 	131773	0.130010 	0.739979 	-0.386406 	 Indices = 	40	
00000000000000000000010000000000000000000000000000	0.36798 	133811	0.132021 	0.735958 	-0.390211 	 Indices = 	22	
00000000000000000000010000100000000000000000000000	0.36504 	136790	0.134960 	0.730080 	-0.395708 	 Indices = 	27	22	
00000000000000000000000000000000000010000000000000	0.35667 	145269	0.143326 	0.713348 	-0.410955 	 Indices = 	37	
00000000000000000000000000010000000000000000000000	0.35521 	146758	0.144795 	0.710410 	-0.413573 	 Indices = 	28	
00000000000010000000000000000000000000000000000000	0.34970 	152342	0.150304 	0.699392 	-0.423236 	 Indices = 	13	
00000000000000000000000010100000000000000000000000	0.34946 	152582	0.150541 	0.698918 	-0.423646 	 Indices = 	27	25	
00000000000000000000000101000000000000000000000000	0.34634 	155743	0.153660 	0.692681 	-0.429005 	 Indices = 	26	24	
00000000000000000000000000000000000000000010010000	0.30596 	196673	0.194042 	0.611916 	-0.492031 	 Indices = 	46	43	
00000000000000000000001000000000000000000000000000	0.29196 	210857	0.208036 	0.583927 	-0.511343 	 Indices = 	23	
00000000000000000000000000000000000000000000000010	0.29042 	801137	0.790420 	-0.580841 	-0.513399 	 Indices = 	49	
00000000000000000000100000000000000000000000000000	0.27930 	223691	0.220699 	0.558602 	-0.527791 	 Indices = 	21	
00000000000000000000000000000000000000000000100001	0.27913 	223868	0.220873 	0.558253 	-0.528011 	 Indices = 	50	45	
00000000001010000000000000000000000000000000000000	0.27762 	225393	0.222378 	0.555244 	-0.529901 	 Indices = 	13	11	
00000000000000000000000000000000000000000000010000	0.27360 	784089	0.773601 	-0.547201 	-0.534889 	 Indices = 	46	
00000000000000000000000000000000000000000101000000	0.27218 	230904	0.227815 	0.544369 	-0.536623 	 Indices = 	44	42	
00010000010000000000000000000000000000000000000000	0.26544 	237738	0.234558 	0.530884 	-0.544725 	 Indices = 	10	4	
00000000000000000000000100001000000000000000000000	0.26369 	774048	0.763694 	-0.527388 	-0.546785 	 Indices = 	29	24	
00000000010000000000000000000000000000000000000000	0.26218 	241047	0.237823 	0.524355 	-0.548557 	 Indices = 	10	
10000010000000000000000000000000000000000000000000	0.25834 	244937	0.241661 	0.516679 	-0.552986 	 Indices = 	7	1	
00000000000000000000000000000000000000001000000100	0.25561 	247701	0.244388 	0.511225 	-0.556085 	 Indices = 	48	41	
00000000000000000000000000000010100000000000000000	0.25401 	249326	0.245991 	0.508018 	-0.557888 	 Indices = 	33	31	
00000000000000010010000000000000000000000000000000	0.24889 	254510	0.251106 	0.497789 	-0.563546 	 Indices = 	19	16	
10010000000000000000000000000000000000000000000000	0.24698 	256447	0.253017 	0.493967 	-0.565625 	 Indices = 	4	1	
00000000000000000000000000000000000000000000010001	0.24403 	259445	0.255974 	0.488051 	-0.568804 	 Indices = 	50	46	
00000001000000000000000000000000000000000000000000	0.24319 	260296	0.256814 	0.486372 	-0.569698 	 Indices = 	8	
00000000000000010100000000000000000000000000000000	0.24290 	260588	0.257102 	0.485796 	-0.570004 	 Indices = 	18	16	
00000000000000000000000000000000000000000000001000	0.24209 	752152	0.742091 	-0.484181 	-0.570859 	 Indices = 	47	
00000000000000000101000000000000000000000000000000	0.24150 	262007	0.258502 	0.482996 	-0.571484 	 Indices = 	20	18	
00000000000001000000000000000000000000000000000000	0.23483 	268764	0.265169 	0.469662 	-0.578394 	 Indices = 	14	
00000000000000000000000000000000010000000000000000	0.23431 	269289	0.265687 	0.468626 	-0.578921 	 Indices = 	34	
00000000000000000000000000000010000000100000000000	0.23198 	271658	0.268024 	0.463952 	-0.581284 	 Indices = 	39	31	
00101000000000000000000000000000000000000000000000	0.23135 	272289	0.268647 	0.462707 	-0.581908 	 Indices = 	5	3	
00001010000000000000000000000000000000000000000000	0.22772 	275967	0.272275 	0.455449 	-0.585509 	 Indices = 	7	5	
01010000000000000000000000000000000000000000000000	0.22513 	278598	0.274871 	0.450257 	-0.588044 	 Indices = 	4	2	
00000001100000000000000000000000000000000000000000	0.21609 	287755	0.283906 	0.432188 	-0.596604 	 Indices = 	9	8	
00000000000000000000000000000000000000000100001000	0.21372 	290159	0.286278 	0.427445 	-0.598785 	 Indices = 	47	42	
01000100000000000000000000000000000000000000000000	0.20352 	300498	0.296478 	0.407043 	-0.607851 	 Indices = 	6	2	
00000000001100000000000000000000000000000000000000	0.20234 	301700	0.297664 	0.404671 	-0.608872 	 Indices = 	12	11	
00000000001000001000000000000000000000000000000000	0.20002 	304051	0.299984 	0.400032 	-0.610851 	 Indices = 	17	11	
00000000000000000100000000000000000000000000000000	0.19206 	312110	0.307935 	0.384130 	-0.617438 	 Indices = 	18	
00000000000000000000000000000001000100000000000000	0.19096 	700326	0.690958 	-0.381916 	-0.618332 	 Indices = 	36	32	
00000000000000000000000000000001010000000000000000	0.18775 	316483	0.312250 	0.375501 	-0.620889 	 Indices = 	34	32	
00000000000000000000000000000000000000001000001000	0.16698 	337536	0.333021 	0.333958 	-0.636297 	 Indices = 	47	41	
00000000001000100000000000000000000000000000000000	0.16249 	342081	0.337505 	0.324990 	-0.639367 	 Indices = 	15	11	
00000000000000000000000000000001001000000000000000	0.15307 	351635	0.346931 	0.306137 	-0.645526 	 Indices = 	35	32	
00100000000000000000000000000100000000000000000000	0.14623 	358566	0.353770 	0.292461 	-0.649749 	 Indices = 	30	3	
00000000000000000000000000000000000101000000000000
